position.x,obj_dois,title_vector,position.y,relationType,relatedIdentifierType,subj_dois,subjtitle_vector
2,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,95,References,DOI,10.15468/dl.t4gc8j,Occurrence Download
2,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,96,References,DOI,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
2,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,97,References,DOI,10.15468/dl.v4qqas,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,7,IsDerivedFrom,DOI,10.15468/dl.2gtpj7,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,8,IsDerivedFrom,DOI,10.15468/dl.ad6fxs,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,10,IsDerivedFrom,DOI,10.15468/dl.pnzzj4,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,17,References,DOI,10.15468/dl.g5v7m4,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,18,References,DOI,10.15468/dl.6w6dmn,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,33,References,DOI,10.15468/dl.8x55jp,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,35,References,DOI,10.15468/dl.dkyg9y,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,36,References,DOI,10.15468/dl.e9c4rf,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,37,References,DOI,10.15468/dl.uztgqy,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,47,References,DOI,10.15468/dl.eevk6v,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,53,References,DOI,10.15468/dl.jx65ta,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,54,References,DOI,10.15468/dl.taqftu,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,57,References,DOI,10.15468/dl.wd59n7,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,67,References,DOI,10.15468/dl.uxhkny,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,68,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,72,References,DOI,10.15468/dl.gx742r,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,74,References,DOI,10.15468/dl.cqpa99,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,75,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
3,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,76,References,DOI,10.15468/dl.zycegr,Occurrence Download
